"specie","metabolite usage","enzymes","ecosystem","pH","biotic relationship","cell arrangement","energy source","flagella","gram stain","growth in groups","halophilic","pathogenic","metabolism","mobility","motility","oxygen requirement","radioresistance","shape","sporulation","temperature range"
"Listeria grayi","fructose, dextrin, glucose",NA,"host",NA,NA,"chains","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Chlamydia muridarum",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles","chemoorganotroph",NA,"negative",NA,NA,"respiratory lungdisease, respiratory, respiratory throatnoseeyes, pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Listeria innocua","fructose, glycerol, lactose, acetylglucosamine, arabitol, dextrin, trehalose, gentiobiose, salicin, maltose, aesculin, glucose, mannose, d glucopyranoside","catalase","hostassociated, host, dairyproducts, food, hostassociated",NA,NA,"chains, singles","chemoorganotroph","flagellarpresence","positive","growth in groups",NA,NA,NA,NA,"motility","facultative",NA,"bacilli",NA,"mesophilic"
"Oceaniovalibus guishaninsula",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Listeria welshimeri","arbutin, fructose, glycerol, acetylglucosamine, arabitol, dextrin, trehalose, gentiobiose, salicin, aesculin, glucose, mannose, d glucopyranoside","esterase lipase  c8, catalase","hostassociated, host, fecal",NA,NA,"chains, singles","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Chryseobacterium gregarium","dextrin",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Renibacterium salmoninarum",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Candidatus Pelagibacter ubique",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Erysipelothrix rhusiopathiae",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thioalkalivibrio sulfidiphilus","ketoglutaric acid","alkaline phosphatase","sediment, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"sulfuroxidizer",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Alloiococcus otitis","fructose",NA,"hostassociated, host, hostassociated",NA,NA,NA,NA,NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Actinomyces naeslundii",NA,NA,"hostassociated, host, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thermoanaerobacter italicus","melibiose, starch",NA,"environmental, freeliving, single",NA,NA,"pairs, singles","chemoorganotroph","flagellarpresence","positive",NA,NA,NA,NA,"mobility",NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Actinomyces viscosus",NA,NA,"hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Marinobacter adhaerens",NA,"alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Actinomyces israelii",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Actinomyces odontolyticus",NA,NA,"hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Trueperella pyogenes",NA,NA,"hostassociated",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arthrobacter globiformis",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Xanthomonas euvesicatoria","glutamate, ketoglutaric acid, alanine, acetate, aspartate",NA,"hostassociated, plants, phylloplane, host, hostassociated",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,"pathogenic in plants",NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Streptococcus sp. C150","fructose, lactose, dextrin, glucose, mannose",NA,"hostassociated, oral, host, hostassociated",NA,NA,"chains, pairs","chemoorganotroph",NA,"positive","growth in groups",NA,"mammalsman",NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Geobacillus sp. Y412MC52","xylose, mannitol, ketoglutaric acid, glucose",NA,"environmental, freeliving, single",NA,NA,NA,"chemoorganotroph","flagellarpresence","positive",NA,NA,NA,NA,"mobility",NA,"facultative",NA,"bacilli","sporulation","thermophilic"
"Polaromonas sp. JS666","glutamate, ketoglutaric acid",NA,"freeliving",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Candidatus Blochmannia vafer",NA,NA,"hostassociated, host, insectendosymbiont, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Bifidobacterium adolescentis","glucose","galactosidase","hostassociated, human, largeintestine, digestivesystem, host, fecal, humanintestinalmicroflora, humanfecal, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Streptomyces pratensis","arabinose, inositol",NA,"soil, soil, freeliving",NA,NA,"filaments","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,"tailed","sporulation","mesophilic"
"Bifidobacterium bifidum","glucose","glucosidase","hostassociated, digestivesystem, host, fecal, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Bifidobacterium angulatum",NA,"galactosidase","hostassociated, largeintestine, digestivesystem, host, fecal, hostassociated",NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Oceanicaulis alexandrii",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Bifidobacterium asteroides","glycerol","glucosidase, galactosidase","hostassociated, host, fecal, hostassociated",NA,NA,"chains",NA,NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Bifidobacterium breve","glucose","glucosidase","hostassociated, largeintestine, digestivesystem, host, fecal, hostassociated",NA,NA,"chains, clusters, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Candidatus Blochmannia chromaiodes",NA,NA,"hostassociated, host, insectendosymbiont, endosymbiont, hostassociated, single",NA,NA,"singles",NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,"bacilli",NA,NA
"Bifidobacterium catenulatum","turanose","galactosidase","hostassociated, digestivesystem, host, fecal, hostassociated",NA,NA,"singles",NA,NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Bifidobacterium dentium","turanose, glucose",NA,"hostassociated, largeintestine, digestivesystem, host, fecal, humanfecal, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Bifidobacterium minimum",NA,NA,"hostassociated",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Luteimonas mephitis",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Bradyrhizobium sp. DFCI-1","arabinose, d xylopyranoside",NA,"plants, host, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation","mobility",NA,"strictaero",NA,"bacilli",NA,NA
"Brevibacterium linens",NA,"alkaline phosphatase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Novosphingobium sp. PP1Y",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Methylophilus sp. 42",NA,NA,"environmental, lentic, freeliving",NA,NA,"singles","methylotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Luminiphilus syltensis",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Cellulomonas fimi","cellobiose, arabinose, salicin","glucosidase, catalase, galactosidase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thauera sp. 63","ketoglutaric acid, alanine","alkaline phosphatase",NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Cellulomonas flavigena",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,"cellulosedegrader",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Richelia intracellularis",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Streptomyces sp. AA0539",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation",NA
"Novosphingobium nitrogenifigens",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"alpha proteobacterium JLT2015",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Cenarchaeum symbiosum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elusimicrobium minutum",NA,NA,"hostassociated, host",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Corynebacterium diphtheriae","dextrin","esterase lipase  c8","hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Thermoanaerobacter mathranii","gelatin hydrolysis, melibiose, starch","esterase lipase  c8","freeliving, single",NA,NA,"pairs, singles","chemoorganotroph","flagellarpresence","positive",NA,NA,NA,NA,"mobility",NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Corynebacterium glutamicum","acetate",NA,NA,NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Corynebacterium pseudotuberculosis","dextrin",NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Corynebacterium callunae","dextrin",NA,NA,NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Corynebacterium renale",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Streptomyces collinus","arabinose, inositol",NA,"freeliving",NA,NA,"filaments","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,"tailed","sporulation","mesophilic"
"Corynebacterium variabile",NA,NA,"host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"planctomycete KSU-1",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Candidatus Portiera aleyrodidarum",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Eubacterium limosum",NA,NA,"host",NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Pseudovibrio sp. FO-BEG1",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Clostridium saccharobutylicum",NA,NA,NA,NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,"sporulation","mesophilic"
"Propionibacterium freudenreichii",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Microbacterium indicum",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Zobellia galactanivorans","salicin","alkaline phosphatase, valine arylamidase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Dactylococcopsis salina",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Propionibacterium acnes",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Propionibacterium acidipropionici",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Leptospira alexanderi",NA,NA,"hostassociated, host",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"spirilla",NA,NA
"Propionibacterium propionicum",NA,NA,"host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Propionibacterium thoenii",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Anaeromyxobacter dehalogenans",NA,NA,"freeliving, terrestrial",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,"mobility",NA,"strictanaero",NA,"bacilli","sporulation","mesophilic"
"Nisaea denitrificans",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Sphingomonas sp. PR090111-T3T-6A",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Thermoanaerobacter ethanolicus",NA,NA,"freeliving",NA,NA,"pairs, singles",NA,NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Streptomyces filamentosus","arabinose, inositol",NA,"freeliving",NA,NA,"filaments","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,"tailed","sporulation","mesophilic"
"Agrococcus lahaulensis",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gordonia effusa","quinic acid",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Gallionella capsiferriformans",NA,"alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Gordonia araii",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Echinicola vietnamensis",NA,"alkaline phosphatase, valine arylamidase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Meridianimaribacter flavus",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clostridium sp. SY8519",NA,NA,"hostassociated, host, fecal",NA,NA,"pairs","chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Mycobacterium avium",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Mycobacterium bovis",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Mycobacterium fortuitum",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Mycobacterium intracellulare","arabinose",NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"mammalsman, pathogenic in mammals","pahdegrading",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Corynebacterium maris","dextrin",NA,NA,NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Cryocola sp. 340MFSha3.1",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Mycobacterium leprae",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Mycobacterium phlei",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Haloferax mucosum",NA,"oxidase","freeliving, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Microbacterium sp. 11MF",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Mycobacterium smegmatis","quinic acid",NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals","pahdegrading",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Humibacter albus",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Mycobacterium tuberculosis",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"mammalsman, respiratory, pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Mycobacterium flavescens",NA,NA,"hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,"pahdegrading",NA,NA,NA,NA,NA,NA,NA
"Saccharomonospora marina","arabinose",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation",NA
"Oscillochloris trichoides",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haloferax elongans",NA,"oxidase","freeliving, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Mycobacterium marinum",NA,NA,"hostassociated, fish, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"mammalsman, pathogenic in mammals","pahdegrading",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Caldanaerobacter subterraneus",NA,NA,"freeliving, single",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Catenulispora acidiphila","malic acid, arabinose",NA,"freeliving",NA,NA,"filaments","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation","mesophilic"
"Mycobacterium xenopi",NA,NA,NA,NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Thermodesulfatator atlanticus",NA,NA,"freeliving",NA,NA,"pairs",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Brucella ceti",NA,"alkaline phosphatase","hostassociated, mammals, host, hostassociated",NA,NA,"chains, pairs, singles",NA,NA,"negative",NA,NA,"urogenital, pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Brucella pinnipedialis",NA,"alkaline phosphatase","hostassociated, mammals, host, hostassociated",NA,NA,"chains, pairs, singles",NA,NA,"negative",NA,NA,"urogenital, pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Bizionia argentinensis","dextrin, salicin","alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Mycobacterium neoaurum",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Sphingobium quisquiliarum",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Mycobacterium thermoresistibile",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Brucella microti","lactate","alkaline phosphatase","hostassociated, mammals, host, hostassociated",NA,NA,"chains, pairs, singles",NA,NA,"negative",NA,NA,"urogenital, pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Nostoc punctiforme",NA,NA,"freeliving",NA,NA,"filaments",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,"mesophilic"
"Mycobacterium chubuense","quinic acid",NA,NA,NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,"pahdegrading",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Mesorhizobium amorphae","arabinose, d xylopyranoside",NA,"hostassociated, plants, rhizoplane, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,"plantslegumes","nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,NA
"Mycobacterium gilvum","quinic acid",NA,"hostassociated, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals","pahdegrading",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Ochrobactrum sp. EGD-AQ16",NA,NA,"hostassociated, host",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Nitrososphaera viennensis",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mycobacterium ulcerans",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Mycobacterium vaccae",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,"pahdegrading",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Lactobacillus versmoldensis","fructose, dextrin",NA,NA,NA,NA,"chains",NA,NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Brucella inopinata",NA,"alkaline phosphatase","hostassociated, host",NA,NA,"pairs, singles",NA,NA,"negative",NA,NA,"urogenital",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Enterococcus malodoratus","arbutin, acetylglucosamine, dextrin, gentiobiose, salicin, glucose, arabitol, sorbose, tagatose","esterase lipase  c8, esterase  c4","hostassociated, host",NA,NA,"chains","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Tetragenococcus solitarius","lactose",NA,"hostassociated, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,NA
